CCDS release 9,CCDS release 15,X [mutability of noncoding sequence],Y [Tally of unique common noncoding variation],ncRVIS,ncRVIS percentile [Ensembl73] (n=690 WGS),ncGERP      [Average GERP++],ncGERP percentile [Ensembl73],RVIS-CHGV percentile [CCDS r14] (n=690 WGS),RVIS percentile (Petrovski et al 2013),pcGERP percentile [CCDS r14],Used in Table 1,ncCADD     [Average CADD],ncGWAVA [Average GWAVA]
DNAJB12,DNAJB12,5.02718E-05,9,-0.834565465,12.21655503,0.412263537,33.3866887,14.6260069,45.35857514,20.65193966,Yes,8.854480055,0.598486374
MRPL55,MRPL55,1.92849E-05,1,-0.834309656,12.22270018,-1.131478775,95.34259307,68.40621404,71.26680821,90.32327586,Yes,5.967004496,0.385624309
C6orf1,C6orf1,1.92848E-05,1,-0.83430399,12.22884533,0.64213095,27.28868694,84.84464902,60.09082331,89.20797414,Yes,9.849207275,0.498077803
EFNB3,EFNB3,2.70252E-05,3,-0.833996798,12.23499048,2.047202667,6.836371147,29.40736479,61.49445624,29.54741379,Yes,7.730541377,0.66394274
ZNF688,ZNF688,2.70082E-05,3,-0.833033538,12.24113562,-0.161457823,56.75117468,49.09090909,37.11370606,79.3049569,Yes,7.857635092,0.522603369
SPTBN2,SPTBN2,1.92586E-05,1,-0.832819462,12.24728077,1.295871172,14.95843445,0.604142693,0.141542817,38.71767241,Yes,8.660909797,0.678990826
ELAVL2,ELAVL2,3.47491E-05,5,-0.832763133,12.25342592,5.155018047,0.005163422,31.858458,26.23260203,0.026939655,Yes,17.19818445,0.64147735
NR5A1,NR5A1,2.31286E-05,2,-0.832653462,12.25957107,0.932931914,21.05127278,50.1150748,50.22410946,40.40409483,Yes,9.370387135,0.787247565
CLP1,CLP1,2.31277E-05,2,-0.832602467,12.26571622,-0.32958127,66.0814788,22.79631761,50.01179523,15.30711207,Yes,6.413086481,0.491937816
PAPD4,PAPD4,2.69971E-05,3,-0.832404586,12.27186137,1.415188216,13.30613931,23.85500575,37.32012267,1.729525862,Yes,10.14936848,0.505182097
ITGA5,ITGA5,1.9245E-05,1,-0.832048868,12.27800651,2.153650633,6.1083286,7.364787112,10.92238736,43.59913793,Yes,13.28266039,0.503305195
PTGES3,PTGES3,2.3106E-05,2,-0.831372906,12.28415166,3.391380756,0.960396551,52.14614499,66.57230479,0.88362069,Yes,10.5886734,0.611247772
ZDHHC5,ZDHHC5,3.08456E-05,4,-0.831024563,12.29029681,2.527066431,3.764134869,23.0264672,34.81953291,11.85883621,Yes,12.43952388,0.62933657
CXorf23,CXorf23,5.40773E-05,10,-0.830761215,12.29644196,0.757944186,24.54174627,14.24050633,48.54328851,57.97952586,Yes,8.027657989,0.504091005
PDE4B,PDE4B,2.69637E-05,3,-0.830512064,12.30258711,1.487343138,12.51613569,20.49482163,15.26893135,18.94396552,Yes,5.930722086,0.702860051
UHRF1BP1,UHRF1BP1,5.79427E-05,11,-0.83035352,12.30873226,0.275594488,37.63618526,82.65247411,77.36494456,36.43318966,Yes,8.647296438,0.494309121
CBWD2,CBWD2,1.5339E-05,0,-0.830177193,12.3148774,-0.231290564,60.69086591,31.31760644,-,72.29525862,No,6.08586705,0.563356322
PIWIL2,PIWIL2,3.47E-05,5,-0.829980934,12.32102255,-0.059801418,51.41735943,5.097813579,29.61193678,24.02478448,Yes,6.781809135,0.662421096
ZNF862,ZNF862,5.79353E-05,11,-0.829934147,12.3271677,-0.691471921,83.60613415,62.00805524,5.195800896,67.58081897,Yes,7.073945741,0.652816061
SPOPL,SPOPL,5.01755E-05,9,-0.829108258,12.33331285,1.813239603,8.901740073,31.33486766,51.65723048,2.726293103,Yes,9.260788819,0.495963449
SNRPD3,SNRPD3,1.91892E-05,1,-0.828887166,12.339458,-0.161464784,56.7563381,51.10471807,57.99716914,10,Yes,7.020221043,0.371903652
PDS5A,PDS5A,3.08056E-05,4,-0.828758041,12.34560315,2.091266374,6.500748696,2.698504028,15.20405756,5.635775862,Yes,7.635144953,0.652281899
RRM2,RRM2,2.69308E-05,3,-0.828647874,12.35174829,-0.772064056,86.53895802,71.8296893,35.74545883,55.44181034,Yes,6.105740755,0.611541456
RASL10B,RASL10B,3.85472E-05,6,-0.828531399,12.35789344,1.090712994,18.14426602,27.53164557,65.5579146,8.243534483,Yes,9.913435247,0.740657016
RPL36,RPL36,1.91785E-05,1,-0.82828089,12.36403859,-0.724327758,84.77823101,-,56.2514744,45.72198276,No,8.351666667,0.44481149
DPY19L1,DPY19L1,3.85297E-05,6,-0.827539763,12.37018374,0.204193448,40.06815717,45.4027618,26.53338051,33.87392241,Yes,7.828638601,0.699507772
LIN28A,LIN28A,4.24016E-05,7,-0.827491914,12.37632889,1.484310539,12.54711623,36.20253165,32.61972163,14.05172414,Yes,9.057619757,0.641291391
TNXB,TNXB,2.30306E-05,2,-0.827100611,12.38247404,-0.246826168,61.58413797,13.92405063,-,56.45474138,No,7.523478626,0.568739807
KLHDC10,KLHDC10,6.56221E-05,13,-0.826631253,12.38861919,0.731278172,25.08390561,27.49136939,35.42108988,7.192887931,Yes,9.149954987,0.522861412
NOTO,NOTO,3.46375E-05,5,-0.826439442,12.39476433,-0.310997707,64.96101616,27.07710012,-,86.66487069,No,4.399688551,0.587735596
NBR1,NBR1,3.07637E-05,4,-0.826383861,12.40090948,0.920976738,21.3094439,19.74683544,88.81811748,29.17025862,Yes,9.144921196,0.621981826
SEC23B,SEC23B,2.30135E-05,2,-0.826131695,12.40705463,-0.272470327,62.92146435,92.03682394,79.60603916,32.62392241,Yes,7.472399606,0.472207308
DCTPP1,DCTPP1,1.52646E-05,0,-0.825961612,12.41319978,-0.284088712,63.47395053,42.47410817,68.98443029,64.9299569,Yes,6.32650541,0.411895288
DCDC1,DCDC1,1.5257E-05,0,-0.825530989,12.41934493,0.381692356,34.22316311,65.58112773,17.16206653,48.94396552,Yes,8.061467118,0.63178882
MIXL1,MIXL1,1.52494E-05,0,-0.825100365,12.42549008,-0.158290484,56.59110859,-,-,80.36099138,No,6.233533935,0.600979381
FLRT2,FLRT2,8.10841E-05,17,-0.825060174,12.43163522,1.137518017,17.36458925,26.03567319,50.44821892,14.94073276,Yes,7.219502847,0.637345679
HECW1,HECW1,2.68673E-05,3,-0.825049818,12.43778037,1.723707858,9.727887644,0.897583429,24.72281198,30.625,Yes,8.721083333,0.664555
TPGS2,TPGS2,3.84822E-05,6,-0.824848184,12.44392552,-0.082975179,52.49651469,30.69620253,60.09082331,53.60991379,Yes,6.552566294,0.398740562
SPRYD7,SPRYD7,3.84818E-05,6,-0.824825518,12.45007067,0.468331938,31.85831569,46.34637514,44.53880632,5.932112069,Yes,5.805388355,0.565742245
TOPBP1,TOPBP1,1.5244E-05,0,-0.824794396,12.45621582,0.41658763,33.26276656,65.77675489,28.29087049,43.14116379,Yes,5.630926698,0.478590476
WDR78,WDR78,1.91143E-05,1,-0.824643235,12.46236097,0.333281565,35.6327774,77.38780207,92.32719981,67.53771552,Yes,7.977652213,0.665981894
ZMYND10,ZMYND10,3.0731E-05,4,-0.824530982,12.46850611,-0.261560646,62.39995869,21.73187572,75.43052607,35.95366379,Yes,4.74031171,0.405277625
HINT3,HINT3,4.23445E-05,7,-0.824256286,12.47465126,0.061152355,45.50007745,70.22439586,67.71644256,71.81034483,Yes,6.710419437,0.478799867
CD28,CD28,1.52324E-05,0,-0.824137128,12.48079641,0.784421626,23.92213559,43.56731876,48.11866006,63.43211207,Yes,8.737843918,0.673327688
PCDHA2,PCDHA2,3.0724E-05,4,-0.824134341,12.48694156,3.449429211,0.790003614,26.96777906,54.17551309,66.69719828,Yes,8.671769695,0.639698455
ATM,ATM,5.78286E-05,11,-0.823887243,12.49308671,-0.136137098,55.4138483,91.63406214,95.50601557,26.31465517,Yes,4.981310043,0.541180258
C3orf36,C3orf36,1.9093E-05,1,-0.82343635,12.49923186,-0.590104678,79.48055971,84.11967779,89.65557915,96.81034483,Yes,5.978994338,0.457246992
EML4,EML4,2.6831E-05,3,-0.822992979,12.505377,1.740823521,9.583311819,70.287687,4.62962963,18.3674569,Yes,11.29410869,0.624433134
MAPK8,MAPK8,5.00649E-05,9,-0.822840701,12.51152215,1.946149764,7.688335829,25.84004603,30.06605331,1.848060345,Yes,8.401957195,0.741091063
WDR33,WDR33,6.94272E-05,14,-0.822812025,12.5176673,-0.280788582,63.29323075,6.841196778,12.05472989,11.08297414,Yes,6.366509563,0.584423587
SF3A1,SF3A1,2.29535E-05,2,-0.822731994,12.52381245,-0.223827764,60.24681159,6.484464902,12.77423921,12.65086207,Yes,8.885702814,0.47073508
OTX2,OTX2,1.90778E-05,1,-0.822575099,12.5299576,4.190229007,0.103268446,34.25776755,27.41802312,1.901939655,Yes,13.29247152,0.763933955
TYW5,TYW5,4.2314E-05,7,-0.822527975,12.53610275,-0.083484736,52.53265865,66.51898734,39.95046001,20.75969828,Yes,6.82071695,0.50053017
ZNF251,ZNF251,1.9059E-05,1,-0.821509867,12.5422479,-0.520541418,76.25858419,34.34407365,21.65015334,88.16271552,Yes,5.803166506,0.474056017
PCDHGA7,PCDHGA7,3.06689E-05,4,-0.821012213,12.54839304,1.927141416,7.822584809,53.06098964,63.67067705,62.59698276,Yes,7.195464263,0.656661793
SBDS,SBDS,1.90474E-05,1,-0.820852597,12.55453819,-0.28655458,63.64434347,66.74913694,68.98443029,38.39439655,Yes,7.959856168,0.591245552
MAP1A,MAP1A,2.292E-05,2,-0.820833828,12.56068334,2.600359678,3.449166107,90.97238205,92.61028544,54.10560345,Yes,12.3072296,0.712734375
CAMTA1,CAMTA1,4.22754E-05,7,-0.820340672,12.56682849,3.705689494,0.449217742,1.63981588,1.503892427,16.58405172,Yes,17.33823501,0.433369684
SPRY4,SPRY4,6.16262E-05,12,-0.819638945,12.57297364,1.283090616,15.14948108,23.89528193,50.34206181,26.27155172,Yes,8.313620799,0.581303725
ARHGEF17,ARHGEF17,1.90245E-05,1,-0.819555054,12.57911879,0.875660865,22.14075489,0.932105869,13.74734607,51.93965517,Yes,6.85868537,0.666806502
MAP2K6,MAP2K6,2.67663E-05,3,-0.819326933,12.58526393,1.596528749,11.19429958,30.96662831,31.45789101,7.834051724,Yes,9.28302937,0.482955945
ROR1,ROR1,3.83825E-05,6,-0.819198706,12.59140908,1.644801036,10.5282181,45.94361335,3.054965794,23.27047414,Yes,6.931981516,0.621632966
DGCR14,DGCR14,4.61217E-05,8,-0.818844086,12.59755423,-0.398377849,70.02117003,65.06904488,78.73908941,51.8049569,Yes,5.091826935,0.565326358
CHST6,CHST6,2.67549E-05,3,-0.818680984,12.60369938,-0.570844196,78.66473899,24.22324511,16.62538335,55.5549569,Yes,5.728667328,0.506066424
ZNF235,ZNF235,1.51321E-05,0,-0.818454032,12.60984453,-0.670338389,82.75933289,67.42232451,71.56758669,83.86853448,Yes,7.115707751,0.57941076
G2E3,G2E3,4.61121E-05,8,-0.818300082,12.61598968,0.22980947,39.09227036,42.64096663,75.29488087,15.60344828,Yes,7.761457453,0.548235294
UQCC,UQCC1,2.6744E-05,3,-0.818063366,12.62213482,0.830955088,22.98239273,63.57882624,79.25218212,32.1012931,Yes,8.293781372,0.625593977
UBN2,UBN2,2.67333E-05,3,-0.817457081,12.62827997,1.742404237,9.567821552,10.04602992,19.99882048,18.27047414,Yes,6.830888791,0.700075022
TPST1,TPST1,1.89817E-05,1,-0.817129954,12.63442512,0.688746525,26.1217535,31.50747986,35.74545883,22.67241379,Yes,8.284655191,0.508219056
ABCB8,ABCB8,3.83398E-05,6,-0.816779123,12.64057027,-0.817227784,87.95373574,92.65822785,71.64425572,60.67887931,Yes,5.180586118,0.552842453
PSMD14,PSMD14,2.28395E-05,2,-0.816272567,12.64671542,1.010975406,19.6674756,38.88952819,54.62962963,0.172413793,Yes,12.19638621,0.531978799
FAM18B2-CDRT4,TVP23C-CDRT4,2.67122E-05,3,-0.816261509,12.65286057,-0.476800275,74.15190788,52.06559264,61.2762444,51.09913793,No,7.386710706,0.536556474
H3F3A,H3F3A,1.50892E-05,0,-0.816023278,12.65900571,2.531144641,3.738317757,46.95051784,63.81221986,2.284482759,Yes,8.158218723,0.539063867
CNOT8,CNOT8,2.28286E-05,2,-0.815654955,12.66515086,1.093079966,18.07197811,40.65592635,36.86010852,7.392241379,Yes,6.336844819,0.576368
CTDNEP1,CTDNEP1,1.50786E-05,0,-0.815422672,12.67129601,1.96163107,7.543760004,42.24395857,56.64071715,5.689655172,Yes,13.78999487,0.375268336
C5orf42,C5orf42,1.89476E-05,1,-0.815197807,12.67744116,-0.182828992,57.96974235,90.10932106,19.9398443,67.78017241,Yes,5.944939852,0.65393134
TPX2,TPX2,2.66867E-05,3,-0.814816625,12.68358631,0.015319852,47.48283162,12.30724971,27.88393489,41.58943966,Yes,7.259644874,0.58413142
SLC25A13,SLC25A13,1.89396E-05,1,-0.814744518,12.68973146,0.524771973,30.42804771,12.15189873,6.168907761,32.02047414,Yes,9.53749159,0.574108031
GPR151,GPR151,2.2805E-05,2,-0.814317742,12.69587661,-0.124856848,54.76842051,87.47986191,78.69190847,44.08405172,Yes,6.444378817,0.480930569
ATP2B4,ATP2B4,6.92745E-05,14,-0.814157322,12.70202175,0.769649802,24.293902,4.545454545,11.50625147,47.26293103,Yes,8.497813855,0.649304636
ACSS3,ACSS3,3.82932E-05,6,-0.814138549,12.7081669,-0.549463328,77.66303506,27.93440736,25.64284029,22.20366379,Yes,5.447846943,0.642332664
HP1BP3,HP1BP3,2.66747E-05,3,-0.814136679,12.71431205,1.823421613,8.772654515,20.22439586,34.59542345,2.65625,Yes,11.45439664,0.398549557
SPAG6,SPAG6,2.28006E-05,2,-0.814068431,12.7204572,-0.327110235,65.9420664,73.2278481,51.65723048,42.1012931,Yes,7.783701741,0.692339137
HSPD1,HSPD1,1.89235E-05,1,-0.813832273,12.72660235,1.850776333,8.540300511,19.81588032,38.81811748,21.42241379,Yes,10.33105243,0.564269663
RSPH10B,RSPH10B,1.50432E-05,0,-0.813416875,12.7327475,-0.450774577,72.76294728,6.467203682,-,85.42564655,No,4.884632359,0.486539924
PWWP2B,PWWP2B,1.50426E-05,0,-0.813382879,12.73889264,-0.446301608,72.51510301,-,-,86.875,No,6.915230445,0.581937843
CYSTM1,CYSTM1,2.27883E-05,2,-0.813371493,12.74503779,0.332062191,35.68441163,56.91024166,49.38664779,21.14224138,Yes,10.42854821,0.492358044
RACGAP1,RACGAP1,2.27856E-05,2,-0.813218507,12.75118294,1.075915783,18.49537874,14.14844649,26.7338995,9.757543103,Yes,5.702495969,0.435932983
APH1A,APH1A,1.8911E-05,1,-0.813124008,12.75732809,2.352355194,4.688387463,32.66973533,62.7388535,3.389008621,Yes,12.41438501,0.525426357
NEIL1,NEIL1,2.27783E-05,2,-0.812804877,12.76347324,-0.585316632,79.31016678,50.09205984,87.53833451,64.70905172,Yes,6.75685348,0.505886525
TAF7L,TAF7L,1.50247E-05,0,-0.812368649,12.76961839,0.227479474,39.18521196,75.33947066,72.38145789,86.39008621,Yes,5.072382582,0.622904841
CHRM1,CHRM1,2.66373E-05,3,-0.812017516,12.77576353,1.419449529,13.22352455,16.04718067,14.96815287,34.05711207,Yes,10.03156194,0.716093661
C11orf30,C11orf30,3.43781E-05,5,-0.811740869,12.78190868,1.647766454,10.49207415,2.681242808,1.875442321,1.368534483,Yes,6.96885536,0.7005984
WSB1,WSB1,2.6629E-05,3,-0.81154722,12.78805383,0.899113814,21.69670057,59.64326812,24.19202642,3.297413793,Yes,10.40451462,0.581047149
PARP8,PARP8,4.98655E-05,9,-0.811540998,12.79419898,1.679838725,10.1564517,7.658227848,9.961075725,6.519396552,Yes,7.092794497,0.690856319
CDKN2AIPNL,CDKN2AIPNL,1.88791E-05,1,-0.811316517,12.80034413,0.345240572,35.31264522,51.11622555,57.99716914,21.56788793,Yes,6.684485689,0.529025045
SH3BGRL,SH3BGRL,2.27512E-05,2,-0.811269349,12.80648928,0.829647521,23.02886353,55.54660529,54.62962963,3.620689655,Yes,4.916686952,0.673530702
AGK,AGK,3.43653E-05,5,-0.811015575,12.81263443,-0.583591592,79.20173491,26.5132336,76.15003539,37.2575431,Yes,5.931689431,0.444225302
TUBE1,TUBE1,1.49998E-05,0,-0.810957792,12.81877957,0.177227604,41.01306346,23.61334868,63.35810333,13.25969828,Yes,7.968828472,0.6353125
NUDCD1,NUDCD1,3.82358E-05,6,-0.810886,12.82492472,0.658328892,26.91692053,90.75373993,90.06251474,19.10021552,Yes,7.196556707,0.572022901
FOXO4,FOXO4,1.88652E-05,1,-0.810528927,12.83106987,1.936488852,7.739970052,28.50402762,36.86010852,42.68857759,Yes,6.546527518,0.568092656
WFIKKN2,WFIKKN2,3.04826E-05,4,-0.810455924,12.83721502,0.477342187,31.57432746,53.79171461,17.44515216,42.38685345,Yes,9.733717705,0.602477413
ARC,ARC,3.82193E-05,6,-0.809951034,12.84336017,-0.248267975,61.67191615,14.64326812,28.6329323,47.62931034,Yes,7.853392274,0.578471056
BEND3,BEND3,5.37081E-05,10,-0.809838595,12.84950532,0.3775841,34.35224867,2.663981588,7.537154989,31.02909483,Yes,8.5439517,0.65007428
HSPB6,HSPB6,2.27258E-05,2,-0.809830146,12.85565046,-0.29574119,64.19166624,-,-,60.9375,No,7.818303269,0.621062591
SLITRK1,SLITRK1,4.59588E-05,8,-0.809613024,12.86179561,2.788560877,2.653999071,7.059838895,11.05803255,9.800646552,Yes,8.865429541,0.591047904
ATG4C,ATG4C,2.27178E-05,2,-0.809376853,12.86794076,0.942080548,20.89120669,29.14844649,53.72729417,15.77586207,Yes,5.092895591,0.638983343
KIAA0284,CEP170B,3.04615E-05,4,-0.80926034,12.87408591,-0.46320502,73.43419218,0.891829689,2.600849257,80.23706897,No,7.234953485,0.533042901
HSPH1,HSPH1,2.27121E-05,2,-0.809053883,12.88023106,2.061829453,6.748592967,25.75373993,18.96083982,29.28340517,Yes,10.83760265,0.491405152
C14orf177,C14orf177,1.49659E-05,0,-0.809036988,12.88637621,-0.810528249,87.72654515,91.44994246,78.28497287,99.38577586,Yes,4.332162326,0.538888889
C1orf35,C1orf35,1.49655E-05,0,-0.809014324,12.89252135,-0.779433258,86.79196571,-,87.81552253,78.06573276,No,5.165265607,0.486538025
GRIA4,GRIA4,4.20753E-05,7,-0.809001848,12.8986665,1.589130857,11.26658749,5.621403913,7.047652748,1.400862069,Yes,6.557610181,0.730828542
CENPA,CENPA,1.88273E-05,1,-0.80838147,12.90481165,-0.473849325,73.97635153,54.18872267,51.03798066,76.6487069,Yes,7.524144837,0.523365854
APBA1,APBA1,4.98073E-05,9,-0.808242898,12.9109568,0.059754302,45.54654825,5.989643268,3.963198868,13.48060345,Yes,11.12585279,0.420111931
METTL12,METTL12,2.26954E-05,2,-0.808107635,12.91710195,-0.806605229,87.65942066,67.11162255,85.52724699,77.40301724,Yes,6.064895818,0.390632911
FAM123A,AMER2,2.26899E-05,2,-0.807795997,12.9232471,-0.420559727,71.26039139,-,63.35810333,74.01939655,No,8.639629292,0.662718991
FAM5B,BRINP2,2.26873E-05,2,-0.807648677,12.92939224,1.422661556,13.18221717,20.27042578,6.269167256,17.95797414,Yes,6.35457461,0.65701016
DENND2C,DENND2C,4.20497E-05,7,-0.807551207,12.93553739,0.445763584,32.55021428,84.32105869,90.78792168,19.48275862,Yes,7.114430057,0.563520737
PUF60,PUF60,1.49371E-05,0,-0.807405155,12.94168254,-0.551794376,77.76114008,13.78020713,14.4019816,24.00323276,Yes,8.61564758,0.501226994
ELTD1,ELTD1,2.2675E-05,2,-0.80695174,12.94782769,0.793030335,23.77239634,89.97698504,90.6935598,29.81142241,Yes,7.356195294,0.651629412
SERPINB13,SERPINB13,2.65405E-05,3,-0.806532627,12.95397284,-0.438380211,72.10719265,60.95512083,26.7338995,82.52155172,Yes,4.006949176,0.542521899
ADRA2B,ADRA2B,3.42815E-05,5,-0.806267166,12.96011799,0.167165156,41.32803222,35.02301496,35.98726115,52.45150862,Yes,6.699568043,0.606261468
COX20,COX20,2.26602E-05,2,-0.80611315,12.96626314,-0.583094664,79.1759178,76.01265823,59.76055674,29.17564655,Yes,5.543536376,0.561436508
TUBB2B,TUBB2B,1.49101E-05,0,-0.805875312,12.97240828,0.555037886,29.65869778,10.30494822,-,13.17887931,No,8.464862428,0.643297414
LGMN,LGMN,1.49085E-05,0,-0.805784654,12.97855343,-0.966701605,92.17741519,72.79056387,52.09365416,71.71336207,Yes,7.70783412,0.535700219
RSPH10B2,RSPH10B2,1.49081E-05,0,-0.80576199,12.98469858,-0.260312262,62.3328342,15.18411968,-,87.26293103,No,5.26024111,0.461397713
UBQLN1,UBQLN1,3.81396E-05,6,-0.80543487,12.99084373,2.511007648,3.836422781,15.70195627,31.9297004,10.86206897,Yes,8.058335004,0.561021588
PDCD11,PDCD11,1.87743E-05,1,-0.805378431,12.99698888,-0.547645624,77.56493004,5.575373993,36.1759849,48.6799569,Yes,7.020184364,0.600512104
MEX3A,MEX3A,5.36238E-05,10,-0.805061324,13.00313403,1.60142107,11.10135798,11.69159954,28.6329323,43.13038793,Yes,11.04174752,0.403351363
SLC11A1,SLC11A1,4.20043E-05,7,-0.804978587,13.00927917,-0.298211529,64.32591522,64.25201381,21.76810569,57.68857759,Yes,7.293840491,0.569243354
PPFIA2,PPFIA2,2.26362E-05,2,-0.804753274,13.01542432,3.265262707,1.223731089,6.271576525,7.773059684,5.959051724,Yes,15.30087657,0.670400697
SLC6A16,SLC6A16,1.4875E-05,0,-0.803886516,13.02156947,-0.945032654,91.67656323,60.93785961,18.21184242,98.14655172,Yes,5.770467283,0.598770582
CCDC69,CCDC69,3.81118E-05,6,-0.803859596,13.02771462,-0.113931616,54.11266587,88.4867664,87.53833451,59.97306034,Yes,6.248985745,0.627305773
ANGPTL3,ANGPTL3,1.87471E-05,1,-0.803837249,13.03385977,0.448000204,32.4624361,61.67433832,45.25831564,40.64655172,Yes,7.198785372,0.551348921
ST3GAL6,ST3GAL6,2.26191E-05,2,-0.803784363,13.04000492,0.38938318,34.03211649,80.69620253,38.81811748,29.73060345,Yes,9.724281172,0.49047373
C17orf81,ELP5,1.48727E-05,0,-0.803756196,13.04615006,-0.332618033,66.23121805,61.3406214,50.22410946,75.37715517,No,7.909210306,0.390779944
KIAA0664,CLUH,3.03637E-05,4,-0.803718725,13.05229521,0.874707522,22.18206227,2.566168009,1.332861524,24.74137931,No,5.558503851,0.675245796
TRIM73,TRIM73,1.48674E-05,0,-0.803455894,13.05844036,-0.453420308,72.97981102,35.67894131,-,77.37068966,No,4.263863978,0.569782346
ELN,ELN,2.26031E-05,2,-0.802877779,13.06458551,1.478028321,12.61940414,48.36018412,47.20452937,78.59913793,Yes,7.845713643,0.695475162
TMEM50A,TMEM50A,3.80877E-05,6,-0.802493983,13.07073066,-0.304563635,64.67702793,52.48561565,65.33380514,13.44827586,Yes,6.704343652,0.525646481
DERL2,DERL2,3.80795E-05,6,-0.802029334,13.07687581,0.782987664,23.96344297,44.36708861,42.87567823,1.476293103,Yes,9.469620348,0.5122249
SFTA3,SFTA3,2.25873E-05,2,-0.801982528,13.08302095,1.017429865,19.56937058,75.70195627,64.11299835,85.10775862,Yes,10.88336662,0.636260054
TNR,TNR,1.87117E-05,1,-0.801831447,13.0891661,1.146807255,17.15805236,18.2853855,20.0401038,23.28663793,Yes,8.986665124,0.591502591
SPATA2,SPATA2,3.80757E-05,6,-0.801814009,13.09531125,0.694702161,25.99266794,10.2301496,10.84571833,60.6950431,Yes,9.322565284,0.600643146
FAM86B1,FAM86B1,1.87101E-05,1,-0.801740789,13.1014564,-0.27423577,62.97826199,31.57652474,-,91.3362069,No,3.330834597,0.552722261
INTS6,INTS6,1.48367E-05,0,-0.801716406,13.10760155,3.337367007,1.110135798,10.14959724,10.72776598,5.614224138,Yes,13.21612085,0.400249196
RAP2B,RAP2B,6.13087E-05,12,-0.801645112,13.1137467,0.670799159,26.62260546,36.11047181,51.03798066,12.21443966,Yes,8.354411679,0.562016523
LEPREL1,LEPREL1,2.64503E-05,3,-0.801421713,13.11989185,-0.184193485,58.05752052,14.01611047,19.79830149,29.06788793,Yes,7.925248362,0.663722359
FIZ1,FIZ1,2.2569E-05,2,-0.800945623,13.12603699,0.206843331,39.91325451,-,-,81.73491379,No,7.522301802,0.635655977
FAM153A,FAM153A,1.48215E-05,0,-0.800855162,13.13218214,-0.230582282,60.64439511,33.83774453,-,98.84159483,No,1.542104509,0.519036735
ZNF167,ZKSCAN7,2.6439E-05,3,-0.800781432,13.13832729,-0.1929738,58.46543089,88.43498274,89.86199575,78.21659483,Yes,8.353732968,0.500432191
FBXO8,FBXO8,3.03116E-05,4,-0.8007666,13.14447244,0.830754941,22.997883,37.84234753,39.95046001,4.606681034,Yes,7.959631061,0.51906839
TLR4,TLR4,3.03112E-05,4,-0.800743935,13.15061759,-0.216396376,59.80792069,63.72266974,52.31776362,76.08297414,Yes,5.683926589,0.625498054
FBXW2,FBXW2,1.86878E-05,1,-0.800477248,13.15676274,1.951409171,7.641865028,24.89643268,27.68931352,0.867456897,Yes,11.3598648,0.474811828
DCAF8L1,DCAF8L1,2.25568E-05,2,-0.800254354,13.16290788,-0.036735263,50.14715754,11.9735328,74.58126917,93.29741379,Yes,2.728151053,0.5271
LCA5,LCA5,3.80477E-05,6,-0.800227405,13.16905303,0.430862087,32.84452935,89.8561565,44.03161123,59.22952586,Yes,6.595942645,0.631253882
PAQR5,PAQR5,5.35362E-05,10,-0.800097052,13.17519818,-0.300765424,64.46532762,63.23935558,51.91672564,49.38038793,Yes,5.780611663,0.473464902
PDE5A,PDE5A,4.96609E-05,9,-0.799946664,13.18134333,0.138413134,42.1799969,57.73878021,91.34229771,24.21875,Yes,9.186870355,0.43375943
SPHKAP,SPHKAP,2.6417E-05,3,-0.799534869,13.18748848,0.372047646,34.51231476,82.84234753,12.33781552,71.29849138,Yes,7.929570065,0.737383495
BDP1,BDP1,4.19009E-05,7,-0.799119367,13.19363363,0.881926666,22.00650591,99.51093211,98.48431234,80.31788793,Yes,5.036490515,0.492084785
NELF,NSMF,3.02798E-05,4,-0.798964728,13.19977877,-0.375162407,68.72515103,9.044879171,20.26421326,41.5625,Yes,6.796471219,0.561605046
PAPD7,PAPD7,3.41513E-05,5,-0.798889578,13.20592392,1.02626768,19.40930449,11.61104718,8.368719038,50.23706897,Yes,9.243553,0.649529845
MOSPD3,MOSPD3,1.47858E-05,0,-0.798832371,13.21206907,0.162427997,41.45711778,32.81933257,60.09082331,53.94396552,Yes,9.876497942,0.507530864
CLDN3,CLDN3,1.47851E-05,0,-0.798792708,13.21821422,-0.018897898,49.18676099,25.78250863,76.81056853,36.44935345,Yes,10.58084112,0.593434579
NOB1,NOB1,1.47788E-05,0,-0.798435745,13.22435937,-1.182702611,96.00351113,70.19562716,42.22694032,53.20043103,Yes,6.598591093,0.537476383
PRIMA1,PRIMA1,4.57561E-05,8,-0.798126652,13.23050452,-0.161850272,56.77699179,52.07134638,41.24793583,37.03125,Yes,7.048658369,0.756699365
HEXIM2,HEXIM2,1.4773E-05,0,-0.798107113,13.23664967,0.447646067,32.47792637,25.93785961,53.50908233,75.43642241,Yes,9.176121942,0.588990318
CETN3,CETN3,2.63891E-05,3,-0.797954,13.24279481,0.558353937,29.53477565,74.39010357,66.57230479,0.334051724,Yes,7.762932536,0.682695492
PSTPIP1,PSTPIP1,1.47696E-05,0,-0.797914466,13.24893996,-0.011035226,48.79434089,14.20598389,72.71172446,57.33836207,Yes,9.020031799,0.568271605
SLC35A3,SLC35A3,2.25152E-05,2,-0.797897238,13.25508511,1.176187129,16.61589301,80.35673188,51.40363293,19.64439655,Yes,8.199276214,0.617404628
