Chromosome/scaffold name	Start (bp)	End (bp)	Feature type	Feature type class
1	153916889	153919013	DNase1	Open Chromatin
1	153919033	153919713	DNase1	Open Chromatin
1	153930513	153931418	DNase1	Open Chromatin
1	153935063	153936405	DNase1	Open Chromatin
1	153939481	153940474	DNase1	Open Chromatin
1	153950012	153950378	DNase1	Open Chromatin
1	153957742	153958114	DNase1	Open Chromatin
1	153959197	153959671	DNase1	Open Chromatin
1	153962883	153964083	DNase1	Open Chromatin
1	154101744	154102287	DNase1	Open Chromatin
1	154126127	154126459	DNase1	Open Chromatin
1	154130880	154131202	DNase1	Open Chromatin
1	154152594	154153251	DNase1	Open Chromatin
1	154154558	154156019	DNase1	Open Chromatin
1	154158605	154158919	DNase1	Open Chromatin
1	154171542	154171927	DNase1	Open Chromatin
1	154192459	154193583	DNase1	Open Chromatin
1	154193605	154194540	DNase1	Open Chromatin
1	154244589	154245489	DNase1	Open Chromatin
1	1542454	1542854	DNase1	Open Chromatin
1	154307511	154307859	DNase1	Open Chromatin
1	154319627	154319980	DNase1	Open Chromatin
1	154326036	154326453	DNase1	Open Chromatin
1	154372867	154373306	DNase1	Open Chromatin
1	154377182	154381164	DNase1	Open Chromatin
1	154391438	154391945	DNase1	Open Chromatin
1	154392006	154392485	DNase1	Open Chromatin
1	154392596	154393246	DNase1	Open Chromatin
1	154403885	154404616	DNase1	Open Chromatin
1	154405066	154405562	DNase1	Open Chromatin
1	154405679	154406398	DNase1	Open Chromatin
1	154411943	154412359	DNase1	Open Chromatin
1	154425600	154425958	DNase1	Open Chromatin
1	154425985	154426473	DNase1	Open Chromatin
1	154427125	154427590	DNase1	Open Chromatin
1	154429021	154429624	DNase1	Open Chromatin
1	154451125	154451471	DNase1	Open Chromatin
1	154452253	154452720	DNase1	Open Chromatin
1	154465746	154466146	DNase1	Open Chromatin
1	154530688	154532399	DNase1	Open Chromatin
1	15455050	15455380	DNase1	Open Chromatin
1	154580490	154580973	DNase1	Open Chromatin
1	154600224	154600756	DNase1	Open Chromatin
1	154642192	154642488	DNase1	Open Chromatin
1	15464303	15464678	DNase1	Open Chromatin
1	154686370	154687754	DNase1	Open Chromatin
1	154688287	154688881	DNase1	Open Chromatin
1	154692052	154692400	DNase1	Open Chromatin
1	154693118	154693807	DNase1	Open Chromatin
1	154698974	154699282	DNase1	Open Chromatin
1	154709351	154709733	DNase1	Open Chromatin
1	154724091	154724646	DNase1	Open Chromatin
1	15473438	15473833	DNase1	Open Chromatin
1	154842662	154843111	DNase1	Open Chromatin
1	154850978	154851313	DNase1	Open Chromatin
1	154908776	154910343	DNase1	Open Chromatin
1	154914932	154915303	DNase1	Open Chromatin
1	154928044	154928873	DNase1	Open Chromatin
1	154933788	154934479	DNase1	Open Chromatin
1	154943018	154943476	DNase1	Open Chromatin
1	154943528	154944174	DNase1	Open Chromatin
1	154946045	154948471	DNase1	Open Chromatin
1	15494941	15495363	DNase1	Open Chromatin
1	1549547	1551392	DNase1	Open Chromatin
1	154955381	154955975	DNase1	Open Chromatin
1	154973184	154973973	DNase1	Open Chromatin
1	154974034	154975168	DNase1	Open Chromatin
1	154978055	154978466	DNase1	Open Chromatin
1	154978968	154979642	DNase1	Open Chromatin
1	154984476	154984964	DNase1	Open Chromatin
1	154989464	154990372	DNase1	Open Chromatin
1	155017316	155017728	DNase1	Open Chromatin
1	155022862	155023451	DNase1	Open Chromatin
1	155023464	155023993	DNase1	Open Chromatin
1	155033945	155034371	DNase1	Open Chromatin
1	155035945	155036610	DNase1	Open Chromatin
1	15504231	15504631	DNase1	Open Chromatin
1	155043363	155043929	DNase1	Open Chromatin
1	155056923	155058497	DNase1	Open Chromatin
1	155058524	155058842	DNase1	Open Chromatin
1	155063959	155064280	DNase1	Open Chromatin
1	155074634	155075145	DNase1	Open Chromatin
1	155107431	155109076	DNase1	Open Chromatin
1	155112333	155113195	DNase1	Open Chromatin
1	155140294	155140712	DNase1	Open Chromatin
1	155145201	155146029	DNase1	Open Chromatin
1	155149071	155149469	DNase1	Open Chromatin
1	155151301	155151653	DNase1	Open Chromatin
1	155157577	155158303	DNase1	Open Chromatin
1	155163057	155163700	DNase1	Open Chromatin
1	155164160	155164921	DNase1	Open Chromatin
1	155176662	155177061	DNase1	Open Chromatin
1	155178032	155179195	DNase1	Open Chromatin
1	155180046	155180871	DNase1	Open Chromatin
1	155184556	155184890	DNase1	Open Chromatin
1	155188586	155189005	DNase1	Open Chromatin
1	155189352	155189961	DNase1	Open Chromatin
1	155192781	155193185	DNase1	Open Chromatin
1	155194416	155194913	DNase1	Open Chromatin
1	155196254	155196734	DNase1	Open Chromatin
1	155197109	155197924	DNase1	Open Chromatin
1	155210891	155211292	DNase1	Open Chromatin
1	155211456	155212047	DNase1	Open Chromatin
1	155214184	155215034	DNase1	Open Chromatin
1	155220430	155220924	DNase1	Open Chromatin
1	155231854	155232558	DNase1	Open Chromatin
1	155242853	155243564	DNase1	Open Chromatin
1	155246828	155247390	DNase1	Open Chromatin
1	155277764	155278853	DNase1	Open Chromatin
1	155292805	155293389	DNase1	Open Chromatin
1	155293457	155294494	DNase1	Open Chromatin
1	15544964	15545476	DNase1	Open Chromatin
1	155455728	155456149	DNase1	Open Chromatin
1	155483195	155483697	DNase1	Open Chromatin
1	155497483	155497942	DNase1	Open Chromatin
1	15550711	15551255	DNase1	Open Chromatin
1	15551487	15551817	DNase1	Open Chromatin
1	155531620	155533411	DNase1	Open Chromatin
1	155579433	155580157	DNase1	Open Chromatin
1	15558067	15558691	DNase1	Open Chromatin
1	155607218	155607604	DNase1	Open Chromatin
1	155618277	155618917	DNase1	Open Chromatin
1	155619468	155619900	DNase1	Open Chromatin
1	155657540	155659075	DNase1	Open Chromatin
1	155715085	155715728	DNase1	Open Chromatin
1	15572408	15572953	DNase1	Open Chromatin
1	15573449	15573933	DNase1	Open Chromatin
1	155826779	155827352	DNase1	Open Chromatin
1	155828587	155830603	DNase1	Open Chromatin
1	15584631	15585150	DNase1	Open Chromatin
1	15585270	15586192	DNase1	Open Chromatin
1	155863418	155863836	DNase1	Open Chromatin
1	15586946	15588481	DNase1	Open Chromatin
1	155879628	155880091	DNase1	Open Chromatin
1	155880885	155881500	DNase1	Open Chromatin
1	155903858	155904651	DNase1	Open Chromatin
1	155907943	155908298	DNase1	Open Chromatin
1	155915749	155916448	DNase1	Open Chromatin
1	155931617	155932192	DNase1	Open Chromatin
1	155940246	155941074	DNase1	Open Chromatin
1	155948085	155948706	DNase1	Open Chromatin
1	155951011	155951443	DNase1	Open Chromatin
1	155958917	155960306	DNase1	Open Chromatin
1	155960713	155961522	DNase1	Open Chromatin
1	15598976	15599412	DNase1	Open Chromatin
1	155990469	155990985	DNase1	Open Chromatin
1	156023428	156023840	DNase1	Open Chromatin
1	156024206	156025260	DNase1	Open Chromatin
1	15602443	15602803	DNase1	Open Chromatin
1	156059904	156060381	DNase1	Open Chromatin
1	156060441	156060817	DNase1	Open Chromatin
1	156066386	156067367	DNase1	Open Chromatin
1	156073797	156074360	DNase1	Open Chromatin
1	156074901	156075331	DNase1	Open Chromatin
1	156075740	156076828	DNase1	Open Chromatin
1	156083786	156084768	DNase1	Open Chromatin
1	156089340	156090146	DNase1	Open Chromatin
1	156092918	156094084	DNase1	Open Chromatin
1	156094892	156095305	DNase1	Open Chromatin
1	156095813	156097503	DNase1	Open Chromatin
1	156099843	156100445	DNase1	Open Chromatin
1	156115686	156116182	DNase1	Open Chromatin
1	156117997	156118585	DNase1	Open Chromatin
1	156120430	156120968	DNase1	Open Chromatin
1	156121028	156121620	DNase1	Open Chromatin
1	156123930	156124549	DNase1	Open Chromatin
1	156125592	156125944	DNase1	Open Chromatin
1	156134853	156135329	DNase1	Open Chromatin
1	156163303	156164140	DNase1	Open Chromatin
1	156182531	156183452	DNase1	Open Chromatin
1	156195208	156195581	DNase1	Open Chromatin
1	156246236	156246729	DNase1	Open Chromatin
1	156252141	156252973	DNase1	Open Chromatin
1	156261101	156261519	DNase1	Open Chromatin
1	156307863	156308812	DNase1	Open Chromatin
1	156341283	156341720	DNase1	Open Chromatin
1	156345899	156346344	DNase1	Open Chromatin
1	156355369	156355784	DNase1	Open Chromatin
1	156368148	156368626	DNase1	Open Chromatin
1	156390614	156391091	DNase1	Open Chromatin
1	156391340	156391786	DNase1	Open Chromatin
1	156415564	156415973	DNase1	Open Chromatin
1	156422714	156423032	DNase1	Open Chromatin
1	156426133	156427735	DNase1	Open Chromatin
1	156427891	156428292	DNase1	Open Chromatin
1	156449726	156450267	DNase1	Open Chromatin
1	156457650	156458072	DNase1	Open Chromatin
1	156460994	156461359	DNase1	Open Chromatin
1	156461393	156461767	DNase1	Open Chromatin
1	156462361	156462732	DNase1	Open Chromatin
1	156470183	156471527	DNase1	Open Chromatin
1	156472556	156473084	DNase1	Open Chromatin
1	156474632	156475502	DNase1	Open Chromatin
1	156481391	156481926	DNase1	Open Chromatin
1	156485713	156486201	DNase1	Open Chromatin
1	156494208	156494680	DNase1	Open Chromatin
1	15649994	15650358	DNase1	Open Chromatin
1	156521675	156522169	DNase1	Open Chromatin
1	156522654	156523267	DNase1	Open Chromatin
1	156542163	156542562	DNase1	Open Chromatin
1	156553860	156554171	DNase1	Open Chromatin
1	1565616	1566056	DNase1	Open Chromatin
1	156569654	156569971	DNase1	Open Chromatin
1	156571069	156571505	DNase1	Open Chromatin
1	156577879	156578283	DNase1	Open Chromatin
1	156627264	156627680	DNase1	Open Chromatin
1	156629641	156630502	DNase1	Open Chromatin
1	156631114	156631495	DNase1	Open Chromatin
1	156659255	156659634	DNase1	Open Chromatin
1	15666819	15667217	DNase1	Open Chromatin
1	15668476	15668867	DNase1	Open Chromatin
1	156695582	156696011	DNase1	Open Chromatin
1	156698024	156699158	DNase1	Open Chromatin
1	156710697	156711409	DNase1	Open Chromatin
1	156716438	156717117	DNase1	Open Chromatin
1	156718334	156719061	DNase1	Open Chromatin
1	156721350	156721931	DNase1	Open Chromatin
1	15672330	15672864	DNase1	Open Chromatin
1	156735375	156735791	DNase1	Open Chromatin
1	156736681	156738200	DNase1	Open Chromatin
1	156774301	156774746	DNase1	Open Chromatin
1	156861830	156862495	DNase1	Open Chromatin
1	156877097	156877598	DNase1	Open Chromatin
1	156933433	156933849	DNase1	Open Chromatin
1	157015408	157015942	DNase1	Open Chromatin
1	157055194	157055679	DNase1	Open Chromatin
1	157059972	157060307	DNase1	Open Chromatin
1	157069255	157069747	DNase1	Open Chromatin
1	157075797	157076780	DNase1	Open Chromatin
1	157082788	157083172	DNase1	Open Chromatin
1	157106793	157107566	DNase1	Open Chromatin
1	157107980	157108669	DNase1	Open Chromatin
1	157117632	157118067	DNase1	Open Chromatin
1	157124634	157125352	DNase1	Open Chromatin
1	157125806	157126404	DNase1	Open Chromatin
1	157329099	157329497	DNase1	Open Chromatin
1	15735498	15736552	DNase1	Open Chromatin
1	15738030	15738609	DNase1	Open Chromatin
1	157406974	157407493	DNase1	Open Chromatin
1	15742189	15743188	DNase1	Open Chromatin
1	15743863	15744469	DNase1	Open Chromatin
1	157460375	157460708	DNase1	Open Chromatin
1	15748067	15748522	DNase1	Open Chromatin
1	15756115	15756698	DNase1	Open Chromatin
1	15757595	15758054	DNase1	Open Chromatin
1	15761213	15761973	DNase1	Open Chromatin
1	157622864	157623327	DNase1	Open Chromatin
1	157704105	157704501	DNase1	Open Chromatin
1	157901939	157902209	DNase1	Open Chromatin
1	157914461	157914851	DNase1	Open Chromatin
1	157926517	157926951	DNase1	Open Chromatin
1	158094756	158095160	DNase1	Open Chromatin
1	158117686	158118154	DNase1	Open Chromatin
1	158119371	158120012	DNase1	Open Chromatin
1	158120251	158120688	DNase1	Open Chromatin
1	158132816	158133187	DNase1	Open Chromatin
1	158147505	158147929	DNase1	Open Chromatin
1	158155461	158156004	DNase1	Open Chromatin
1	158217892	158218318	DNase1	Open Chromatin
1	158253604	158254301	DNase1	Open Chromatin
1	158255353	158256135	DNase1	Open Chromatin
1	158364429	158364806	DNase1	Open Chromatin
1	158410480	158410806	DNase1	Open Chromatin
1	15841495	15842133	DNase1	Open Chromatin
1	15850137	15852077	DNase1	Open Chromatin
1	15852855	15853758	DNase1	Open Chromatin
1	158614149	158614645	DNase1	Open Chromatin
1	158616253	158616706	DNase1	Open Chromatin
1	158778973	158779417	DNase1	Open Chromatin
1	158779673	158780114	DNase1	Open Chromatin
1	158800846	158801387	DNase1	Open Chromatin
1	158803019	158803418	DNase1	Open Chromatin
1	158979410	158980154	DNase1	Open Chromatin
1	158985226	158985821	DNase1	Open Chromatin
1	1590089	1591082	DNase1	Open Chromatin
1	159037785	159038484	DNase1	Open Chromatin
1	159038699	159039144	DNase1	Open Chromatin
1	159046446	159047570	DNase1	Open Chromatin
1	159054416	159055131	DNase1	Open Chromatin
1	159061262	159062297	DNase1	Open Chromatin
1	159102136	159102418	DNase1	Open Chromatin
1	159130805	159131169	DNase1	Open Chromatin
1	159167756	159168125	DNase1	Open Chromatin
1	15929834	15930687	DNase1	Open Chromatin
1	15943467	15944435	DNase1	Open Chromatin
1	15945236	15945588	DNase1	Open Chromatin
1	159616482	159616907	DNase1	Open Chromatin
1	159634024	159634577	DNase1	Open Chromatin
1	159750276	159750951	DNase1	Open Chromatin
1	159768653	159769031	DNase1	Open Chromatin
1	159796174	159796714	DNase1	Open Chromatin
1	159798780	159799419	DNase1	Open Chromatin
1	159824401	159824901	DNase1	Open Chromatin
1	159849770	159850180	DNase1	Open Chromatin
1	159859643	159860164	DNase1	Open Chromatin
1	159861285	159861768	DNase1	Open Chromatin
1	159865925	159866336	DNase1	Open Chromatin
1	159867749	159868166	DNase1	Open Chromatin
1	159869718	159870240	DNase1	Open Chromatin
1	159880058	159881032	DNase1	Open Chromatin
1	159881530	159881900	DNase1	Open Chromatin
1	159890932	159891668	DNase1	Open Chromatin
1	159892558	159896038	DNase1	Open Chromatin
1	159906238	159906608	DNase1	Open Chromatin
1	159923834	159924330	DNase1	Open Chromatin
1	159976111	159976443	DNase1	Open Chromatin
1	160001490	160002021	DNase1	Open Chromatin
1	160040102	160040603	DNase1	Open Chromatin
1	160045629	160046005	DNase1	Open Chromatin
1	160047275	160047649	DNase1	Open Chromatin
1	160048446	160048810	DNase1	Open Chromatin
1	16005065	16005465	DNase1	Open Chromatin
1	160055446	160055772	DNase1	Open Chromatin
1	160066356	160066834	DNase1	Open Chromatin
1	160068279	160069435	DNase1	Open Chromatin
1	160070815	160071216	DNase1	Open Chromatin
1	16007135	16007664	DNase1	Open Chromatin
1	160074361	160074725	DNase1	Open Chromatin
1	16008736	16009246	DNase1	Open Chromatin
1	16011138	16011808	DNase1	Open Chromatin
1	160162917	160163337	DNase1	Open Chromatin
1	160174175	160174857	DNase1	Open Chromatin
1	160176338	160176947	DNase1	Open Chromatin
1	160221775	160222086	DNase1	Open Chromatin
1	160231322	160232676	DNase1	Open Chromatin
1	16023323	16024043	DNase1	Open Chromatin
1	160254740	160255179	DNase1	Open Chromatin
1	160261094	160261485	DNase1	Open Chromatin
1	160308321	160308867	DNase1	Open Chromatin
1	160312715	160313555	DNase1	Open Chromatin
1	160316212	160317580	DNase1	Open Chromatin
1	160345174	160345740	DNase1	Open Chromatin
1	160469415	160469859	DNase1	Open Chromatin
1	160516635	160517242	DNase1	Open Chromatin
1	160540607	160540980	DNase1	Open Chromatin
1	160544706	160545381	DNase1	Open Chromatin
1	160576853	160577226	DNase1	Open Chromatin
1	160599525	160600016	DNase1	Open Chromatin
1	160616612	160617453	DNase1	Open Chromatin
1	160645355	160645702	DNase1	Open Chromatin
1	160651269	160651659	DNase1	Open Chromatin
1	160652733	160653158	DNase1	Open Chromatin
1	160673899	160674469	DNase1	Open Chromatin
1	160674937	160675520	DNase1	Open Chromatin
1	160677886	160678529	DNase1	Open Chromatin
1	160682409	160682999	DNase1	Open Chromatin
1	160696364	160697011	DNase1	Open Chromatin
1	160708731	160709253	DNase1	Open Chromatin
1	160718450	160719029	DNase1	Open Chromatin
1	160738092	160738458	DNase1	Open Chromatin
1	160752036	160752488	DNase1	Open Chromatin
1	160759513	160760490	DNase1	Open Chromatin
1	160765620	160766189	DNase1	Open Chromatin
1	160828916	160829391	DNase1	Open Chromatin
1	160831859	160832994	DNase1	Open Chromatin
1	160833083	160833902	DNase1	Open Chromatin
1	160837376	160837761	DNase1	Open Chromatin
1	160837830	160838285	DNase1	Open Chromatin
1	160845360	160845739	DNase1	Open Chromatin
1	160959851	160960373	DNase1	Open Chromatin
1	160982908	160984012	DNase1	Open Chromatin
1	161011203	161011601	DNase1	Open Chromatin
1	161014615	161015134	DNase1	Open Chromatin
1	161015479	161016878	DNase1	Open Chromatin
1	161037812	161039005	DNase1	Open Chromatin
1	161039050	161040127	DNase1	Open Chromatin
1	161041639	161042211	DNase1	Open Chromatin
1	161052987	161054055	DNase1	Open Chromatin
1	161058410	161058751	DNase1	Open Chromatin
1	161066279	161066688	DNase1	Open Chromatin
1	161067310	161068033	DNase1	Open Chromatin
1	161087625	161088345	DNase1	Open Chromatin
1	161091517	161092084	DNase1	Open Chromatin
1	161102034	161103114	DNase1	Open Chromatin
1	161123359	161124178	DNase1	Open Chromatin
1	161128854	161129711	DNase1	Open Chromatin
1	161135468	161136468	DNase1	Open Chromatin
1	161147020	161147773	DNase1	Open Chromatin
1	16115081	16115576	DNase1	Open Chromatin
1	161152035	161152476	DNase1	Open Chromatin
1	161154803	161156319	DNase1	Open Chromatin
1	161162282	161162641	DNase1	Open Chromatin
1	161164978	161165336	DNase1	Open Chromatin
1	161171094	161171580	DNase1	Open Chromatin
1	161171609	161172331	DNase1	Open Chromatin
1	161179573	161180026	DNase1	Open Chromatin
1	161184020	161184586	DNase1	Open Chromatin
1	161184694	161185301	DNase1	Open Chromatin
1	161186131	161187574	DNase1	Open Chromatin
1	161195153	161196044	DNase1	Open Chromatin
1	161197107	161197899	DNase1	Open Chromatin
1	161275671	161276366	DNase1	Open Chromatin
1	161283865	161284396	DNase1	Open Chromatin
1	161337546	161337874	DNase1	Open Chromatin
1	161351989	161352301	DNase1	Open Chromatin
1	161359362	161360562	DNase1	Open Chromatin
1	161368750	161369978	DNase1	Open Chromatin
1	16142004	16142348	DNase1	Open Chromatin
1	161474915	161475495	DNase1	Open Chromatin
1	161476231	161476935	DNase1	Open Chromatin
1	161493513	161494409	DNase1	Open Chromatin
1	161495122	161495510	DNase1	Open Chromatin
1	161500006	161501219	DNase1	Open Chromatin
1	161509509	161510290	DNase1	Open Chromatin
1	161519387	161519791	DNase1	Open Chromatin
1	16152056	16152712	DNase1	Open Chromatin
1	161524643	161525296	DNase1	Open Chromatin
1	161531020	161531546	DNase1	Open Chromatin
1	161531973	161532598	DNase1	Open Chromatin
1	161541370	161541957	DNase1	Open Chromatin
1	161546478	161546902	DNase1	Open Chromatin
1	16156231	16156967	DNase1	Open Chromatin
1	161581722	161582798	DNase1	Open Chromatin
1	161591137	161591566	DNase1	Open Chromatin
1	161605894	161606673	DNase1	Open Chromatin
1	16160663	16163043	DNase1	Open Chromatin
1	161612425	161612881	DNase1	Open Chromatin
1	161613246	161613982	DNase1	Open Chromatin
1	161623262	161623841	DNase1	Open Chromatin
1	161628299	161628755	DNase1	Open Chromatin
1	16163241	16164292	DNase1	Open Chromatin
1	161691699	161692215	DNase1	Open Chromatin
1	161700023	161700382	DNase1	Open Chromatin
1	161708370	161709204	DNase1	Open Chromatin
1	161709630	161710141	DNase1	Open Chromatin
1	161711199	161711574	DNase1	Open Chromatin
1	161719337	161720042	DNase1	Open Chromatin
1	161735860	161736648	DNase1	Open Chromatin
1	16173808	16174754	DNase1	Open Chromatin
1	161742126	161742597	DNase1	Open Chromatin
1	16174972	16175401	DNase1	Open Chromatin
1	16175691	16176126	DNase1	Open Chromatin
1	1617589	1618094	DNase1	Open Chromatin
1	161959493	161960076	DNase1	Open Chromatin
1	161969051	161969438	DNase1	Open Chromatin
1	161973528	161973979	DNase1	Open Chromatin
1	161993464	161993925	DNase1	Open Chromatin
1	161996649	161997144	DNase1	Open Chromatin
1	161998481	161999042	DNase1	Open Chromatin
1	162025762	162026113	DNase1	Open Chromatin
1	16212631	16213222	DNase1	Open Chromatin
1	162199471	162199788	DNase1	Open Chromatin
1	162204884	162205340	DNase1	Open Chromatin
1	162224866	162225280	DNase1	Open Chromatin
1	162280049	162280630	DNase1	Open Chromatin
1	162296844	162298012	DNase1	Open Chromatin
1	1623739	1625377	DNase1	Open Chromatin
1	162392740	162393199	DNase1	Open Chromatin
1	162413680	162414188	DNase1	Open Chromatin
1	162467379	162467911	DNase1	Open Chromatin
1	162530800	162531839	DNase1	Open Chromatin
1	16275904	16276663	DNase1	Open Chromatin
1	162760106	162760729	DNase1	Open Chromatin
1	16279126	16279696	DNase1	Open Chromatin
1	162863132	162863536	DNase1	Open Chromatin
1	16292394	16293155	DNase1	Open Chromatin
1	16302356	16302882	DNase1	Open Chromatin
1	16321039	16321355	DNase1	Open Chromatin
1	163291349	163291993	DNase1	Open Chromatin
1	16339167	16339598	DNase1	Open Chromatin
1	16339691	16340060	DNase1	Open Chromatin
1	16359305	16359708	DNase1	Open Chromatin
1	16405410	16405782	DNase1	Open Chromatin
1	164527987	164528369	DNase1	Open Chromatin
1	164678283	164678735	DNase1	Open Chromatin
1	164686127	164686628	DNase1	Open Chromatin
1	16499515	16500310	DNase1	Open Chromatin
1	16532718	16533862	DNase1	Open Chromatin
1	165362170	165362740	DNase1	Open Chromatin
1	16542711	16543046	DNase1	Open Chromatin
1	16543488	16544285	DNase1	Open Chromatin
1	165506531	165506996	DNase1	Open Chromatin
1	1655400	1656328	DNase1	Open Chromatin
1	165562231	165562506	DNase1	Open Chromatin
1	165567037	165567877	DNase1	Open Chromatin
1	165570921	165571248	DNase1	Open Chromatin
1	165599832	165600612	DNase1	Open Chromatin
1	165600805	165601492	DNase1	Open Chromatin
1	16563522	16563929	DNase1	Open Chromatin
1	165667184	165668141	DNase1	Open Chromatin
1	165737838	165738813	DNase1	Open Chromatin
1	165796645	165797415	DNase1	Open Chromatin
1	165823270	165823900	DNase1	Open Chromatin
1	165826185	165827047	DNase1	Open Chromatin
1	165840568	165841016	DNase1	Open Chromatin
1	165847201	165847765	DNase1	Open Chromatin
1	165853822	165854254	DNase1	Open Chromatin
1	165883446	165883766	DNase1	Open Chromatin
1	16620029	16620567	DNase1	Open Chromatin
1	166458630	166459904	DNase1	Open Chromatin
1	166478667	166478999	DNase1	Open Chromatin
1	166480941	166481467	DNase1	Open Chromatin
1	16675360	16675717	DNase1	Open Chromatin
1	16677364	16677877	DNase1	Open Chromatin
1	16678715	16679417	DNase1	Open Chromatin
1	166808214	166808891	DNase1	Open Chromatin
1	166845267	166845937	DNase1	Open Chromatin
1	166871409	166871986	DNase1	Open Chromatin
1	166872412	166872780	DNase1	Open Chromatin
1	16689860	16690260	DNase1	Open Chromatin
1	16693323	16694540	DNase1	Open Chromatin
1	16698300	16698654	DNase1	Open Chromatin
1	167035893	167036232	DNase1	Open Chromatin
1	167051879	167052306	DNase1	Open Chromatin
1	167059779	167060213	DNase1	Open Chromatin
1	16718010	16718338	DNase1	Open Chromatin
1	167188940	167190364	DNase1	Open Chromatin
1	167237101	167237446	DNase1	Open Chromatin
1	167263778	167264131	DNase1	Open Chromatin
1	167266436	167266807	DNase1	Open Chromatin
1	167416190	167416579	DNase1	Open Chromatin
1	167416664	167417331	DNase1	Open Chromatin
1	167517606	167518300	DNase1	Open Chromatin
1	167518747	167519171	DNase1	Open Chromatin
1	167520608	167521043	DNase1	Open Chromatin
1	167522614	167523305	DNase1	Open Chromatin
1	167525367	167525688	DNase1	Open Chromatin
1	167532046	167532330	DNase1	Open Chromatin
1	167532696	167533486	DNase1	Open Chromatin
1	167569258	167569915	DNase1	Open Chromatin
1	167570569	167571149	DNase1	Open Chromatin
1	167574840	167575194	DNase1	Open Chromatin
1	167581825	167582190	DNase1	Open Chromatin
1	167586353	167587270	DNase1	Open Chromatin
1	167596788	167597242	DNase1	Open Chromatin
1	167599893	167600293	DNase1	Open Chromatin
1	167657151	167657472	DNase1	Open Chromatin
1	16766957	16767923	DNase1	Open Chromatin
1	167683417	167684362	DNase1	Open Chromatin
1	167684585	167685029	DNase1	Open Chromatin
1	167690262	167690867	DNase1	Open Chromatin
1	167690884	167691573	DNase1	Open Chromatin
1	1676953	1678883	DNase1	Open Chromatin
1	167760931	167761511	DNase1	Open Chromatin
1	167772512	167773102	DNase1	Open Chromatin
1	167904696	167906099	DNase1	Open Chromatin
1	168050575	168051165	DNase1	Open Chromatin
1	168051473	168051817	DNase1	Open Chromatin
1	168114849	168115457	DNase1	Open Chromatin
1	168147798	168148800	DNase1	Open Chromatin
1	168194795	168195483	DNase1	Open Chromatin
1	168196340	168196799	DNase1	Open Chromatin
1	16827055	16827372	DNase1	Open Chromatin
1	168311889	168312308	DNase1	Open Chromatin
1	16839242	16841458	DNase1	Open Chromatin
1	168408999	168409324	DNase1	Open Chromatin
1	168452711	168453182	DNase1	Open Chromatin
1	168473028	168474059	DNase1	Open Chromatin
1	168543524	168543853	DNase1	Open Chromatin
1	168595589	168596150	DNase1	Open Chromatin
1	16866829	16867445	DNase1	Open Chromatin
1	169010593	169011041	DNase1	Open Chromatin
1	169085249	169085887	DNase1	Open Chromatin
1	169281384	169281784	DNase1	Open Chromatin
1	169317731	169318062	DNase1	Open Chromatin
1	169336855	169337682	DNase1	Open Chromatin
1	16939679	16940720	DNase1	Open Chromatin
1	169454326	169455630	DNase1	Open Chromatin
1	16947486	16947926	DNase1	Open Chromatin
1	169553910	169554902	DNase1	Open Chromatin
1	1695543	1696091	DNase1	Open Chromatin
1	169555470	169555891	DNase1	Open Chromatin
1	169573906	169574581	DNase1	Open Chromatin
1	169577468	169577897	DNase1	Open Chromatin
1	169666923	169667294	DNase1	Open Chromatin
1	169680684	169681018	DNase1	Open Chromatin
1	169681126	169681534	DNase1	Open Chromatin
1	16970822	16971611	DNase1	Open Chromatin
1	169763681	169764369	DNase1	Open Chromatin
1	169862568	169863683	DNase1	Open Chromatin
1	169865212	169865569	DNase1	Open Chromatin
1	16991986	16994127	DNase1	Open Chromatin
1	17001391	17001954	DNase1	Open Chromatin
1	170043526	170044151	DNase1	Open Chromatin
1	17036220	17036624	DNase1	Open Chromatin
1	170500999	170501752	DNase1	Open Chromatin
1	17058784	17059274	DNase1	Open Chromatin
1	17066347	17068576	DNase1	Open Chromatin
1	1709732	1710805	DNase1	Open Chromatin
1	17107433	17107925	DNase1	Open Chromatin
1	17108036	17108488	DNase1	Open Chromatin
1	1711258	1712242	DNase1	Open Chromatin
1	171182152	171182446	DNase1	Open Chromatin
1	171282936	171283522	DNase1	Open Chromatin
1	171403840	171404518	DNase1	Open Chromatin
1	1714064	1714665	DNase1	Open Chromatin
1	171454105	171455611	DNase1	Open Chromatin
1	171710952	171711714	DNase1	Open Chromatin
1	171712118	171712597	DNase1	Open Chromatin
1	171714024	171714575	DNase1	Open Chromatin
1	171750131	171750975	DNase1	Open Chromatin
1	17193476	17194033	DNase1	Open Chromatin
1	17221733	17223897	DNase1	Open Chromatin
1	17230172	17232335	DNase1	Open Chromatin
1	17240237	17241151	DNase1	Open Chromatin
1	172413030	172413473	DNase1	Open Chromatin
1	172418981	172419504	DNase1	Open Chromatin
1	172442429	172442831	DNase1	Open Chromatin
1	172485045	172485460	DNase1	Open Chromatin
1	172501197	172503203	DNase1	Open Chromatin
1	172557822	172558514	DNase1	Open Chromatin
1	172631873	172632284	DNase1	Open Chromatin
1	172695881	172696278	DNase1	Open Chromatin
1	172714083	172714507	DNase1	Open Chromatin
1	172715329	172715924	DNase1	Open Chromatin
1	172727408	172727772	DNase1	Open Chromatin
1	172735603	172736064	DNase1	Open Chromatin
