Chromosome/scaffold name	Start (bp)	End (bp)	Feature type
9	134016718	134017159	TF binding site
1	188682397	188682876	TF binding site
2	66349219	66349518	TF binding site
4	43358804	43359237	TF binding site
3	11387915	11388300	TF binding site
17	27233825	27234570	TF binding site
14	104798294	104798533	TF binding site
4	8424082	8424588	TF binding site
1	68741975	68742610	TF binding site
3	63729352	63729545	TF binding site
9	133965366	133966121	TF binding site
1	178348904	178349279	TF binding site
20	2984070	2984421	TF binding site
1	40279893	40280324	TF binding site
1	36662816	36663268	TF binding site
2	75543165	75543414	TF binding site
7	6490906	6491333	TF binding site
X	131737813	131738321	TF binding site
10	81330561	81330770	TF binding site
12	108862165	108862442	TF binding site
3	137949392	137949600	TF binding site
7	46849517	46849783	TF binding site
1	37171303	37171586	TF binding site
7	45656837	45657212	TF binding site
8	110732513	110732809	TF binding site
9	126851858	126852014	TF binding site
1	207762917	207763212	TF binding site
15	68831404	68831755	TF binding site
5	174441912	174442647	TF binding site
8	26386240	26386644	TF binding site
15	91025591	91026308	TF binding site
14	28208709	28209443	TF binding site
13	83537392	83538230	TF binding site
19	38632836	38633511	TF binding site
20	46124799	46125172	TF binding site
12	125371558	125372218	TF binding site
21	21816011	21816200	TF binding site
13	31748215	31748489	TF binding site
11	37679274	37679519	TF binding site
2	174164555	174164821	TF binding site
GL000221.1	79161	80799	TF binding site
1	242156066	242156351	TF binding site
6	1667394	1667880	TF binding site
16	54459008	54459278	TF binding site
2	25450531	25450765	TF binding site
12	124242065	124242488	TF binding site
2	172955154	172956076	TF binding site
10	78087192	78087357	TF binding site
7	121464297	121464835	TF binding site
8	86291527	86291854	TF binding site
6	96216493	96216793	TF binding site
1	90398567	90398825	TF binding site
14	43782039	43782310	TF binding site
14	34368969	34369378	TF binding site
1	65942923	65943511	TF binding site
1	174894294	174894478	TF binding site
10	49368744	49369085	TF binding site
5	85580197	85581124	TF binding site
8	70805767	70805968	TF binding site
X	28677513	28677668	TF binding site
22	49339307	49340068	TF binding site
19	42604385	42604756	TF binding site
4	143422218	143422463	TF binding site
11	71017327	71017832	TF binding site
5	54990002	54990333	TF binding site
7	98963064	98963597	TF binding site
1	7079655	7080015	TF binding site
15	34946838	34947193	TF binding site
2	136210650	136211035	TF binding site
16	18532576	18533593	TF binding site
1	155131490	155131919	TF binding site
8	123716002	123716578	TF binding site
8	117112238	117112787	TF binding site
1	17489373	17489793	TF binding site
11	70027486	70027745	TF binding site
6	101845144	101845412	TF binding site
1	14762753	14763083	TF binding site
6	52069385	52069621	TF binding site
7	102096794	102097237	TF binding site
1	93687497	93687857	TF binding site
20	56332437	56333401	TF binding site
Y	56352300	56352576	TF binding site
1	220422971	220423242	TF binding site
11	34023962	34024323	TF binding site
6	129702444	129702704	TF binding site
3	133112061	133112345	TF binding site
14	70206125	70206655	TF binding site
6	170180849	170181300	TF binding site
16	70812014	70812325	TF binding site
10	115042976	115043293	TF binding site
17	77321937	77322167	TF binding site
16	3830534	3830927	TF binding site
12	131484341	131485113	TF binding site
2	124565882	124566197	TF binding site
12	117804787	117805290	TF binding site
4	164164605	164165061	TF binding site
5	41638711	41639262	TF binding site
6	147301797	147302472	TF binding site
3	148097560	148097921	TF binding site
17	67710842	67711126	TF binding site
7	110414149	110414519	TF binding site
X	53370476	53370855	TF binding site
9	69478568	69479058	TF binding site
11	34484040	34484574	TF binding site
3	169850107	169850575	TF binding site
6	140179636	140179924	TF binding site
9	102635825	102636157	TF binding site
11	128869022	128869256	TF binding site
2	65553392	65553751	TF binding site
9	96444335	96444357	TF binding site
19	11571064	11571378	TF binding site
14	106660006	106661161	TF binding site
4	106604047	106604685	TF binding site
1	95577113	95577417	TF binding site
3	185242380	185242700	TF binding site
5	5881446	5881894	TF binding site
1	231053539	231053787	TF binding site
GL000198.1	72943	74053	TF binding site
13	47069210	47069535	TF binding site
1	156727207	156728172	TF binding site
13	20306785	20306966	TF binding site
X	19024083	19024361	TF binding site
11	78311999	78312581	TF binding site
4	67777569	67778075	TF binding site
9	65699701	65699770	TF binding site
8	125601734	125601991	TF binding site
19	39426038	39426318	TF binding site
21	22603060	22603326	TF binding site
1	173026041	173026201	TF binding site
X	57309064	57309349	TF binding site
2	33992422	33992713	TF binding site
7	92416135	92416417	TF binding site
17	9305936	9306238	TF binding site
GL000225.1	42926	43205	TF binding site
8	94117448	94118229	TF binding site
20	42199986	42200300	TF binding site
21	47420937	47421205	TF binding site
2	95410833	95411266	TF binding site
7	35470212	35470506	TF binding site
3	195357216	195357690	TF binding site
3	27295346	27295743	TF binding site
6	20303203	20303573	TF binding site
7	5195825	5196107	TF binding site
15	63634006	63634507	TF binding site
1	119859530	119859821	TF binding site
13	45978364	45978747	TF binding site
4	65777615	65777931	TF binding site
6	64120821	64121366	TF binding site
22	22055006	22055502	TF binding site
7	8130191	8130636	TF binding site
6	27082710	27083331	TF binding site
11	21833201	21833486	TF binding site
8	106505694	106505972	TF binding site
5	102940953	102941387	TF binding site
20	36256194	36256549	TF binding site
9	100713141	100713759	TF binding site
4	127659225	127659532	TF binding site
6	26338950	26339498	TF binding site
10	127273439	127274033	TF binding site
11	16327975	16328248	TF binding site
4	94751630	94751825	TF binding site
22	39112859	39113130	TF binding site
14	36963008	36963211	TF binding site
15	78774735	78775050	TF binding site
GL000220.1	36021	36233	TF binding site
GL000229.1	655	876	TF binding site
4	79618690	79618890	TF binding site
11	71423901	71424369	TF binding site
1	108888813	108889094	TF binding site
GL000194.1	59802	60051	TF binding site
11	89210371	89210755	TF binding site
14	49045095	49045302	TF binding site
18	580130	580509	TF binding site
16	85461789	85462249	TF binding site
22	44933971	44934247	TF binding site
11	2742398	2742844	TF binding site
5	55683958	55684908	TF binding site
8	129487958	129488449	TF binding site
22	20966061	20966434	TF binding site
17	77083486	77084192	TF binding site
4	128972361	128972839	TF binding site
17	59407540	59407880	TF binding site
11	131631941	131632210	TF binding site
1	100951352	100951899	TF binding site
2	144920300	144920589	TF binding site
14	26007109	26007402	TF binding site
6	150163494	150163862	TF binding site
5	129613907	129614138	TF binding site
X	85603729	85604021	TF binding site
17	79660847	79661276	TF binding site
15	96795252	96795839	TF binding site
1	3701670	3702386	TF binding site
14	52462914	52463134	TF binding site
19	18332801	18333469	TF binding site
5	64946968	64947385	TF binding site
11	374105	374528	TF binding site
16	53082365	53082860	TF binding site
13	79390722	79391145	TF binding site
12	112055470	112055848	TF binding site
4	187474885	187475198	TF binding site
3	120514907	120515171	TF binding site
5	9766750	9767071	TF binding site
4	139099746	139100149	TF binding site
7	129071910	129072192	TF binding site
X	750988	751050	TF binding site
6	41374377	41375071	TF binding site
18	77771367	77771896	TF binding site
10	62414543	62415083	TF binding site
GL000195.1	40659	41351	TF binding site
2	172667754	172667988	TF binding site
21	35434309	35434660	TF binding site
6	139926533	139926878	TF binding site
5	150369305	150369583	TF binding site
18	11757114	11757355	TF binding site
19	50595267	50596523	TF binding site
6	31850240	31850496	TF binding site
6	136628628	136628874	TF binding site
12	123506742	123507066	TF binding site
12	31118663	31118913	TF binding site
3	27101879	27102168	TF binding site
20	7142378	7142667	TF binding site
4	188850209	188850560	TF binding site
X	109055466	109055877	TF binding site
11	83980125	83980303	TF binding site
14	105134118	105134586	TF binding site
8	139654253	139654606	TF binding site
6	19269584	19270312	TF binding site
6	40345834	40346238	TF binding site
14	94743373	94744003	TF binding site
22	21752346	21752615	TF binding site
16	10461480	10461960	TF binding site
1	18454790	18455202	TF binding site
6	19333046	19333520	TF binding site
4	3673561	3674115	TF binding site
2	231815250	231815659	TF binding site
8	2216514	2216813	TF binding site
8	25532893	25533218	TF binding site
14	50011849	50012213	TF binding site
12	81722932	81723239	TF binding site
7	26624702	26625318	TF binding site
1	107658014	107658301	TF binding site
22	22334081	22334417	TF binding site
1	114758918	114759713	TF binding site
7	4209159	4209536	TF binding site
19	43246301	43246547	TF binding site
1	146395064	146395549	TF binding site
5	173127014	173127432	TF binding site
7	81488101	81488533	TF binding site
20	10166760	10167213	TF binding site
16	84081901	84082406	TF binding site
1	63074620	63074894	TF binding site
1	106981985	106982537	TF binding site
15	80751736	80752074	TF binding site
19	12975557	12975995	TF binding site
10	114298942	114299596	TF binding site
2	210384701	210384952	TF binding site
2	134102214	134102903	TF binding site
13	107838267	107838584	TF binding site
6	161376571	161376914	TF binding site
GL000222.1	83733	83918	TF binding site
10	76639967	76640322	TF binding site
21	40580424	40580796	TF binding site
11	76978943	76979398	TF binding site
8	146000448	146000987	TF binding site
2	10927758	10928020	TF binding site
7	32643668	32644026	TF binding site
14	69948634	69948988	TF binding site
1	18954219	18954400	TF binding site
5	142859040	142859298	TF binding site
6	100917108	100917656	TF binding site
11	69781253	69781583	TF binding site
7	118677181	118677460	TF binding site
2	63305920	63306337	TF binding site
1	56000297	56000872	TF binding site
17	26597008	26597511	TF binding site
3	31228737	31229271	TF binding site
X	2792542	2793299	TF binding site
1	169539276	169539769	TF binding site
X	9235440	9235917	TF binding site
4	38823480	38823685	TF binding site
8	124185797	124185922	TF binding site
12	130770603	130770872	TF binding site
2	144909072	144909271	TF binding site
5	628490	628957	TF binding site
7	97889375	97889701	TF binding site
12	122820562	122820860	TF binding site
11	63284210	63284582	TF binding site
1	179248716	179248963	TF binding site
19	33515261	33515771	TF binding site
4	122673334	122673663	TF binding site
10	5723799	5724159	TF binding site
20	54151865	54153424	TF binding site
17	64229165	64229595	TF binding site
14	104643494	104644310	TF binding site
X	89660162	89660372	TF binding site
20	45846302	45847184	TF binding site
6	12801411	12801717	TF binding site
9	89025250	89025682	TF binding site
4	187745107	187745604	TF binding site
12	124000723	124001241	TF binding site
1	186047286	186047798	TF binding site
14	70503457	70503771	TF binding site
11	118512452	118512772	TF binding site
7	97852646	97853229	TF binding site
1	242623126	242623470	TF binding site
5	137895536	137896081	TF binding site
22	22097542	22099028	TF binding site
12	115173589	115173761	TF binding site
15	90035239	90035672	TF binding site
6	37505861	37506312	TF binding site
14	38808979	38809210	TF binding site
GL000229.1	15824	16366	TF binding site
2	660600	660940	TF binding site
1	27483668	27484152	TF binding site
15	43501117	43501659	TF binding site
8	82555893	82556430	TF binding site
3	163925847	163926238	TF binding site
16	6197121	6197393	TF binding site
17	47383386	47383659	TF binding site
21	9878797	9879185	TF binding site
12	34339450	34339786	TF binding site
22	41582871	41583104	TF binding site
8	63506366	63506638	TF binding site
6	37709745	37710110	TF binding site
15	78041793	78041873	TF binding site
1	193646111	193646744	TF binding site
X	7088983	7089363	TF binding site
14	81678250	81678500	TF binding site
8	69104397	69104875	TF binding site
7	51495964	51496248	TF binding site
3	82693135	82693447	TF binding site
10	17332223	17332578	TF binding site
1	107538578	107538735	TF binding site
2	156014296	156014650	TF binding site
19	2199175	2199815	TF binding site
5	27021151	27021423	TF binding site
5	131619120	131619652	TF binding site
14	102151254	102151897	TF binding site
2	1890211	1890566	TF binding site
15	102301624	102301896	TF binding site
20	53537075	53537449	TF binding site
2	38390220	38390495	TF binding site
2	217633416	217634362	TF binding site
9	133940095	133940410	TF binding site
2	131534159	131534447	TF binding site
20	37296049	37296587	TF binding site
5	128471299	128471682	TF binding site
21	41688066	41688426	TF binding site
12	43675992	43676267	TF binding site
12	50708523	50708795	TF binding site
12	76449224	76449480	TF binding site
X	140622983	140623360	TF binding site
22	36882721	36883042	TF binding site
2	30064338	30064628	TF binding site
6	80287659	80287971	TF binding site
14	72582508	72583155	TF binding site
17	13010086	13010662	TF binding site
20	53307707	53308375	TF binding site
5	37654563	37655062	TF binding site
7	78902341	78902583	TF binding site
11	814357	814611	TF binding site
6	136901018	136901224	TF binding site
14	44363826	44364075	TF binding site
11	31848249	31849355	TF binding site
19	56907527	56907872	TF binding site
8	108793786	108794098	TF binding site
1	119583627	119583889	TF binding site
11	5529167	5529476	TF binding site
9	113613131	113613405	TF binding site
14	94244685	94245224	TF binding site
6	91177632	91178295	TF binding site
16	47554195	47554574	TF binding site
5	176233248	176233523	TF binding site
1	112502071	112502446	TF binding site
7	66334680	66335471	TF binding site
8	106420970	106421429	TF binding site
6	33514244	33514598	TF binding site
1	64397137	64397521	TF binding site
9	129495299	129495677	TF binding site
15	91490636	91490993	TF binding site
5	107567173	107567449	TF binding site
5	132591982	132592500	TF binding site
7	158813638	158814101	TF binding site
18	12422893	12423319	TF binding site
6	10113450	10113778	TF binding site
15	95209840	95210117	TF binding site
6	138708694	138709085	TF binding site
1	16942738	16943032	TF binding site
13	112707694	112708885	TF binding site
5	109324820	109325291	TF binding site
5	178126922	178127113	TF binding site
4	141581044	141581884	TF binding site
X	18413142	18413395	TF binding site
22	21365777	21366044	TF binding site
6	116159988	116160264	TF binding site
17	66384054	66384396	TF binding site
12	2136662	2136853	TF binding site
2	158715422	158715560	TF binding site
10	22823760	22824270	TF binding site
4	133304614	133305137	TF binding site
9	91553010	91553848	TF binding site
3	184104054	184104620	TF binding site
22	25271929	25272212	TF binding site
17	58202542	58202863	TF binding site
13	31896284	31896559	TF binding site
19	7884311	7884567	TF binding site
8	79595765	79596000	TF binding site
3	86834584	86834838	TF binding site
8	136627271	136627506	TF binding site
7	98394653	98395218	TF binding site
15	22691191	22691873	TF binding site
3	185706303	185706589	TF binding site
16	80661102	80661278	TF binding site
15	33942119	33942307	TF binding site
6	133689782	133690259	TF binding site
1	13462400	13462729	TF binding site
X	118686434	118686855	TF binding site
17	59917360	59917721	TF binding site
19	15126690	15127064	TF binding site
3	54498298	54498530	TF binding site
8	39782696	39782948	TF binding site
1	46035626	46036237	TF binding site
4	144800825	144801468	TF binding site
16	3439753	3440407	TF binding site
6	152708255	152708517	TF binding site
GL000220.1	59380	59683	TF binding site
2	88853798	88854040	TF binding site
14	93380379	93380827	TF binding site
10	63584681	63584983	TF binding site
8	54869952	54870269	TF binding site
5	145281987	145282299	TF binding site
7	81157023	81157263	TF binding site
9	114742582	114743274	TF binding site
14	25430074	25430384	TF binding site
9	32294121	32294457	TF binding site
8	52576135	52576395	TF binding site
9	108444089	108444362	TF binding site
GL000224.1	96797	97366	TF binding site
14	32094771	32095288	TF binding site
12	131614334	131614649	TF binding site
10	63508879	63509754	TF binding site
8	23934580	23934742	TF binding site
14	39937076	39937528	TF binding site
15	45128057	45128896	TF binding site
7	98297550	98297917	TF binding site
16	28992775	28993243	TF binding site
2	172397517	172398326	TF binding site
2	3712545	3712909	TF binding site
GL000225.1	36185	36487	TF binding site
GL000229.1	6637	7937	TF binding site
4	90566759	90567083	TF binding site
3	152796896	152797241	TF binding site
15	28759909	28761016	TF binding site
GL000205.1	11319	11494	TF binding site
11	89232075	89232397	TF binding site
1	58290266	58290559	TF binding site
13	67066680	67066980	TF binding site
3	31487246	31487589	TF binding site
6	93559405	93559691	TF binding site
2	26414640	26415067	TF binding site
7	103650492	103651273	TF binding site
19	10172472	10172975	TF binding site
2	121849693	121850104	TF binding site
3	54459816	54460256	TF binding site
8	1422761	1423000	TF binding site
10	94857214	94857632	TF binding site
6	46057894	46058240	TF binding site
4	4659748	4660174	TF binding site
GL000225.1	105342	114476	TF binding site
20	62920871	62921121	TF binding site
11	77890716	77891101	TF binding site
X	140688625	140688853	TF binding site
22	32523891	32524194	TF binding site
3	7465765	7465992	TF binding site
13	79450400	79450607	TF binding site
5	17206215	17206467	TF binding site
3	197797752	197798082	TF binding site
3	111918471	111919011	TF binding site
15	30063043	30063338	TF binding site
16	944444	945470	TF binding site
7	17587945	17588209	TF binding site
15	51578991	51579436	TF binding site
10	8903730	8904047	TF binding site
16	4483386	4483638	TF binding site
4	190938453	190938768	TF binding site
7	6837646	6838178	TF binding site
3	102900035	102900442	TF binding site
20	46622774	46623585	TF binding site
5	153358740	153358982	TF binding site
4	38919408	38919491	TF binding site
20	61745858	61746462	TF binding site
9	125844125	125844445	TF binding site
7	157725001	157726862	TF binding site
6	46686783	46687313	TF binding site
5	68700626	68700974	TF binding site
1	150436821	150437342	TF binding site
3	21058524	21058946	TF binding site
20	52671108	52671472	TF binding site
15	83847093	83847398	TF binding site
GL000224.1	21398	21773	TF binding site
8	132049117	132049680	TF binding site
14	23521407	23521934	TF binding site
X	45754380	45755166	TF binding site
20	61727547	61728014	TF binding site
2	15067073	15067741	TF binding site
1	118438082	118438576	TF binding site
5	178800256	178800492	TF binding site
14	23197433	23197923	TF binding site
1	105031238	105031577	TF binding site
10	7744664	7745657	TF binding site
4	148600364	148600671	TF binding site
6	11930080	11930400	TF binding site
16	18103547	18103885	TF binding site
16	5206613	5206780	TF binding site
17	17997356	17997818	TF binding site
16	309048	310065	TF binding site
GL000212.1	23800	24512	TF binding site
17	57394307	57394661	TF binding site
11	134077324	134077620	TF binding site
2	92004260	92004681	TF binding site
2	54488627	54489451	TF binding site
1	152199817	152200122	TF binding site
6	67695646	67696364	TF binding site
5	75631021	75631783	TF binding site
2	151405144	151405419	TF binding site
GL000216.1	47542	47872	TF binding site
10	76464362	76464364	TF binding site
13	30267736	30268103	TF binding site
9	133946824	133947357	TF binding site
1	213907052	213907455	TF binding site
10	28182144	28183034	TF binding site
18	3633054	3633544	TF binding site
15	33840133	33840485	TF binding site
1	84394914	84395185	TF binding site
3	64504019	64504530	TF binding site
19	1620456	1620961	TF binding site
1	19201595	19202320	TF binding site
7	54551218	54551773	TF binding site
2	170342095	170342725	TF binding site
3	17787269	17787533	TF binding site
2	182478103	182478328	TF binding site
15	89408753	89409277	TF binding site
2	144464066	144464274	TF binding site
1	28929361	28929755	TF binding site
5	134304841	134305513	TF binding site
1	110030893	110031144	TF binding site
12	132404028	132404580	TF binding site
15	79510930	79511248	TF binding site
14	38215300	38215814	TF binding site
7	24784960	24785467	TF binding site
1	32992629	32992953	TF binding site
2	55933119	55933372	TF binding site
6	1178753	1179203	TF binding site
4	11012803	11013299	TF binding site
12	60739242	60739615	TF binding site
15	52074621	52074879	TF binding site
5	825692	826035	TF binding site
10	102840737	102841108	TF binding site
20	44280405	44280778	TF binding site
12	6362361	6362919	TF binding site
1	90669658	90669900	TF binding site
12	57273638	57273897	TF binding site
3	129961758	129962256	TF binding site
7	122694817	122695148	TF binding site
16	17321221	17321543	TF binding site
3	45233690	45233978	TF binding site
2	156216591	156217227	TF binding site
2	112772731	112773144	TF binding site
2	14875783	14876242	TF binding site
3	64605657	64606105	TF binding site
13	45063909	45064233	TF binding site
2	236044622	236045051	TF binding site
5	174156117	174156324	TF binding site
6	164162973	164163258	TF binding site
9	90066178	90066551	TF binding site
5	81671418	81671791	TF binding site
20	51146444	51146789	TF binding site
1	220078213	220078722	TF binding site
4	123755447	123755546	TF binding site
8	72523054	72523316	TF binding site
10	113632206	113632749	TF binding site
5	1210475	1210904	TF binding site
15	89954133	89954462	TF binding site
8	140920020	140920399	TF binding site
20	55739536	55740785	TF binding site
16	3477722	3477936	TF binding site
11	30129314	30130051	TF binding site
22	21332667	21333003	TF binding site
19	5666185	5666525	TF binding site
20	6940426	6941100	TF binding site
12	130707082	130707433	TF binding site
18	76367220	76367713	TF binding site
8	39424437	39424785	TF binding site
14	25282926	25283352	TF binding site
10	127005028	127005599	TF binding site
X	124538360	124539117	TF binding site
6	3293349	3294016	TF binding site
5	33409535	33409839	TF binding site
22	16872285	16872702	TF binding site
2	10045627	10045882	TF binding site
16	8396372	8396639	TF binding site
8	87953003	87953392	TF binding site
19	7525355	7525916	TF binding site
12	58035860	58036091	TF binding site
4	148328474	148328736	TF binding site
1	114804516	114804787	TF binding site
4	11166681	11167030	TF binding site
2	39461969	39462227	TF binding site
21	33973154	33973692	TF binding site
GL000212.1	108746	109056	TF binding site
5	19519650	19519923	TF binding site
8	37935654	37936347	TF binding site
15	96546546	96546792	TF binding site
14	59476698	59477042	TF binding site
18	28629184	28629645	TF binding site
5	33579975	33580251	TF binding site
18	25945134	25945812	TF binding site
11	66207555	66208162	TF binding site
5	50763975	50764632	TF binding site
2	165007225	165007425	TF binding site
10	27488590	27488978	TF binding site
1	117385325	117385673	TF binding site
15	90015979	90016423	TF binding site
17	59555464	59556184	TF binding site
11	76435211	76435591	TF binding site
22	25605130	25605392	TF binding site
4	100409090	100409465	TF binding site
7	158790823	158791220	TF binding site
5	148682788	148683138	TF binding site
20	57197080	57197310	TF binding site
7	156745853	156746313	TF binding site
1	207833163	207833566	TF binding site
13	99118962	99119242	TF binding site
9	92496449	92496775	TF binding site
20	45853070	45853505	TF binding site
5	102350742	102351067	TF binding site
GL000198.1	76179	76711	TF binding site
16	76255976	76256359	TF binding site
17	42824924	42825338	TF binding site
4	178078643	178078777	TF binding site
11	17494658	17495338	TF binding site
16	250461	250792	TF binding site
6	162785433	162785946	TF binding site
3	141297086	141297401	TF binding site
7	93499502	93499757	TF binding site
4	89007780	89007956	TF binding site
4	37246170	37247357	TF binding site
19	31917572	31917712	TF binding site
11	50017053	50017499	TF binding site
6	88003272	88003599	TF binding site
7	88964144	88964475	TF binding site
11	130062568	130063218	TF binding site
20	52231729	52232649	TF binding site
5	2675280	2675470	TF binding site
14	69823668	69824714	TF binding site
7	32762364	32762750	TF binding site
21	16283681	16284128	TF binding site
4	38094349	38094629	TF binding site
7	72562601	72562897	TF binding site
10	102469791	102470200	TF binding site
19	10968930	10969220	TF binding site
9	131047587	131047918	TF binding site
7	106241487	106241761	TF binding site
18	3935167	3935828	TF binding site
1	18528542	18528801	TF binding site
GL000195.1	18223	18520	TF binding site
11	17795930	17796240	TF binding site
5	21549657	21550108	TF binding site
4	25374097	25374689	TF binding site
1	243216391	243216699	TF binding site
4	54962725	54963165	TF binding site
5	112085690	112086142	TF binding site
15	34934317	34934799	TF binding site
2	43319802	43320317	TF binding site
12	127970083	127970465	TF binding site
8	87804137	87804504	TF binding site
7	75428094	75428516	TF binding site
17	38073262	38073707	TF binding site
5	67474398	67474743	TF binding site
12	119288062	119288479	TF binding site
10	45282026	45282346	TF binding site
7	98429266	98429663	TF binding site
3	101358638	101360069	TF binding site
14	55306355	55306861	TF binding site
7	104764562	104764866	TF binding site
17	60910776	60911113	TF binding site
20	13933912	13934215	TF binding site
9	23123110	23123369	TF binding site
1	47659902	47660498	TF binding site
4	31017994	31018275	TF binding site
11	110930558	110930744	TF binding site
8	111967869	111968250	TF binding site
6	92153107	92153561	TF binding site
14	87188794	87189570	TF binding site
8	100437866	100438088	TF binding site
19	36468323	36468813	TF binding site
14	60528427	60528559	TF binding site
5	170700290	170700639	TF binding site
1	211710548	211710882	TF binding site
8	59161737	59161993	TF binding site
22	21380818	21381155	TF binding site
4	56520473	56520793	TF binding site
5	35922633	35922942	TF binding site
22	22981478	22981791	TF binding site
20	44591621	44591969	TF binding site
2	86188111	86188399	TF binding site
5	126012854	126013334	TF binding site
1	22063316	22063744	TF binding site
4	155385867	155386115	TF binding site
14	35727750	35728081	TF binding site
1	107373875	107374068	TF binding site
17	25695219	25695567	TF binding site
4	95653000	95653287	TF binding site
1	85612192	85613023	TF binding site
5	170118637	170118992	TF binding site
2	100231925	100232286	TF binding site
12	115279517	115279704	TF binding site
9	130650187	130650464	TF binding site
8	48686672	48687169	TF binding site
5	90520832	90521096	TF binding site
6	12183014	12183297	TF binding site
5	56158748	56159142	TF binding site
2	129032888	129033299	TF binding site
6	25630230	25630549	TF binding site
9	135086153	135086547	TF binding site
4	73993612	73993889	TF binding site
5	13218680	13218981	TF binding site
GL000198.1	63856	64285	TF binding site
X	102090787	102091045	TF binding site
2	126979114	126979369	TF binding site
17	48081340	48081655	TF binding site
7	112765819	112766154	TF binding site
22	22235163	22235467	TF binding site
20	52400292	52401041	TF binding site
2	149850901	149851253	TF binding site
2	174616934	174617220	TF binding site
22	22356860	22357484	TF binding site
6	31341940	31342282	TF binding site
22	19723493	19723781	TF binding site
4	15725692	15725738	TF binding site
15	92064118	92064451	TF binding site
X	48612155	48613272	TF binding site
X	115330214	115330380	TF binding site
19	15223209	15223653	TF binding site
15	72920580	72920952	TF binding site
13	108603441	108603740	TF binding site
20	61669139	61669484	TF binding site
13	25571578	25571831	TF binding site
17	36630795	36631400	TF binding site
6	13289884	13290949	TF binding site
4	116922447	116922858	TF binding site
14	74945800	74946048	TF binding site
16	25135914	25136197	TF binding site
1	144220675	144221140	TF binding site
9	108831582	108831884	TF binding site
14	80930807	80931203	TF binding site
3	13405405	13406265	TF binding site
9	118110149	118110442	TF binding site
7	50241461	50241828	TF binding site
GL000229.1	8050	9429	TF binding site
22	23423024	23423352	TF binding site
9	136063537	136064065	TF binding site
8	99890547	99890970	TF binding site
18	43436559	43436865	TF binding site
4	57088746	57089057	TF binding site
3	142003933	142004314	TF binding site
21	45992837	45993216	TF binding site
2	241000449	241000770	TF binding site
1	9610133	9610635	TF binding site
6	113511407	113511703	TF binding site
16	84099161	84099469	TF binding site
4	169441180	169441537	TF binding site
21	46175241	46175500	TF binding site
20	45865246	45865663	TF binding site
16	17195455	17195885	TF binding site
8	119515781	119516047	TF binding site
5	36440355	36440932	TF binding site
19	990999	991054	TF binding site
1	107688230	107688541	TF binding site
19	19213971	19214334	TF binding site
2	173161034	173161333	TF binding site
8	129069222	129069550	TF binding site
7	100674422	100674706	TF binding site
6	140470759	140471376	TF binding site
3	184134463	184134978	TF binding site
5	130056082	130056393	TF binding site
4	41875313	41875941	TF binding site
2	242592831	242593268	TF binding site
15	74211086	74211555	TF binding site
2	380555	381326	TF binding site
15	39061305	39061502	TF binding site
20	52398987	52400130	TF binding site
14	62646094	62646437	TF binding site
5	7274394	7274657	TF binding site
5	170579412	170579740	TF binding site
8	134875972	134876386	TF binding site
4	72680225	72680470	TF binding site
9	133994458	133994775	TF binding site
10	133308292	133308604	TF binding site
11	43911751	43912074	TF binding site
1	27036807	27037004	TF binding site
12	52789522	52790027	TF binding site
1	21029019	21029231	TF binding site
X	134841512	134842107	TF binding site
5	175557257	175557469	TF binding site
11	65620606	65620897	TF binding site
21	10614608	10615130	TF binding site
12	117592905	117593657	TF binding site
16	26806529	26806773	TF binding site
1	65755509	65755907	TF binding site
14	47911441	47911818	TF binding site
4	181478609	181478855	TF binding site
GL000219.1	46330	46504	TF binding site
7	12985586	12985863	TF binding site
5	1737949	1738342	TF binding site
13	106966794	106967071	TF binding site
2	2257366	2257614	TF binding site
10	66139655	66139979	TF binding site
16	1420349	1420758	TF binding site
20	46321369	46321564	TF binding site
1	24181040	24181304	TF binding site
20	52710114	52710501	TF binding site
10	77670025	77670247	TF binding site
1	226664609	226664967	TF binding site
3	97646513	97646977	TF binding site
8	74731407	74731704	TF binding site
18	73002573	73003173	TF binding site
7	66003859	66004279	TF binding site
16	52582927	52583258	TF binding site
1	111652915	111653227	TF binding site
7	84539779	84540076	TF binding site
13	46092690	46093023	TF binding site
1	20078654	20079074	TF binding site
11	70426607	70426870	TF binding site
17	5666946	5667303	TF binding site
5	159585161	159585442	TF binding site
15	83754806	83755129	TF binding site
9	72334386	72334678	TF binding site
3	27179464	27179723	TF binding site
22	22905956	22906251	TF binding site
17	70135441	70135709	TF binding site
2	108912191	108912623	TF binding site
2	230608418	230608659	TF binding site
17	46596664	46597375	TF binding site
10	66276075	66276548	TF binding site
14	64307849	64308039	TF binding site
GL000193.1	94879	96293	TF binding site
22	22332825	22333144	TF binding site
8	2645487	2646441	TF binding site
20	53047947	53048533	TF binding site
3	153969447	153969858	TF binding site
6	5017260	5017855	TF binding site
12	60233244	60233940	TF binding site
2	234451136	234451576	TF binding site
5	68946808	68947011	TF binding site
20	47264933	47265566	TF binding site
12	119218652	119219111	TF binding site
6	54596092	54596471	TF binding site
9	126722742	126722988	TF binding site
12	128410580	128410862	TF binding site
3	37742310	37742568	TF binding site
20	21700302	21700671	TF binding site
19	53522930	53523304	TF binding site
12	12983537	12983718	TF binding site
5	173118985	173119566	TF binding site
3	107156931	107157247	TF binding site
22	39670133	39670654	TF binding site
2	119615992	119616480	TF binding site
22	20964523	20965077	TF binding site
17	38997495	38997895	TF binding site
